Year,GrandPrix,Driver,FP1_best,FP1_mean,FP1_std,FP2_best,FP2_mean,FP2_std,FP3_best,FP3_mean,FP3_std,track_evolution,AirTemp,TrackTemp,Humidity,Rainfall,Team,quali_best,Driver_enc,Team_enc,GrandPrix_enc
2023,Bahrain Grand Prix,MAG,94.402,97.94746153846152,1.429835574194029,92.11,93.25999999999999,1.2945284855884827,93.381,95.27499999999999,1.4084381420566539,1.0210000000000008,23.879999999999995,28.08526315789472,21.652631578947368,0,Haas F1 Team,91.892,9,5,3
2023,Bahrain Grand Prix,NOR,94.165,96.753,1.988918131380307,91.57,92.67666666666666,0.9650400682527878,93.202,94.5355,1.1456714188631947,0.9630000000000081,23.879999999999995,28.08526315789472,21.652631578947368,0,McLaren,91.381,10,6,3
2023,Bahrain Grand Prix,OCO,95.105,96.13800000000002,0.7252259418048057,91.608,92.12700000000001,0.39587455925667586,93.116,94.5895,1.4112011550448755,1.9890000000000043,23.879999999999995,28.08526315789472,21.652631578947368,0,Alpine,90.914,11,2,3
2023,Bahrain Grand Prix,PER,92.758,96.88477777777777,2.240381484132657,91.078,94.5935,2.8024501958108017,92.446,93.86366666666667,1.3346858556729153,0.3119999999999976,23.879999999999995,28.08526315789472,21.652631578947368,0,Red Bull Racing,89.846,12,8,3
2023,Bahrain Grand Prix,PIA,94.997,96.20266666666667,1.1716297765648231,92.024,93.52475000000001,1.332206033865133,93.045,93.92233333333333,0.8194719844713038,1.9519999999999982,23.879999999999995,28.08526315789472,21.652631578947368,0,McLaren,92.101,13,6,3
2023,Bahrain Grand Prix,RUS,94.966,96.39011111111111,1.1371990200097393,91.882,93.57425,2.3676450149181245,92.731,95.32866666666666,1.89105649483739,2.2349999999999994,23.879999999999995,28.08526315789472,21.652631578947368,0,Mercedes,90.34,15,7,3
2023,Bahrain Grand Prix,SAI,96.072,96.51133333333333,0.6679530921654098,91.956,92.18033333333334,0.38855673116461914,92.945,94.0925,1.522839781460943,3.1270000000000095,23.879999999999995,28.08526315789472,21.652631578947368,0,Ferrari,90.154,16,4,3
2023,Bahrain Grand Prix,SAR,95.749,96.1002,0.2764917720294807,92.749,93.12025,0.3842979529826683,93.665,95.011,1.7020342730587619,2.083999999999989,23.879999999999995,28.08526315789472,21.652631578947368,0,Williams,91.652,17,9,3
2023,Bahrain Grand Prix,STR,94.298,95.6012,1.3309424104746248,91.45,92.913,1.113222798904155,92.919,93.84575,0.6213481981412152,1.3790000000000049,23.879999999999995,28.08526315789472,21.652631578947368,0,Aston Martin,90.836,18,3,3
2023,Bahrain Grand Prix,TSU,95.015,96.52799999999998,1.1087281001219345,92.525,93.20125000000002,0.6991582438904647,93.475,93.83224999999999,0.37620860791144234,1.5400000000000063,23.879999999999995,28.08526315789472,21.652631578947368,0,AlphaTauri,91.4,19,1,3
2023,Bahrain Grand Prix,VER,93.375,97.79308333333334,1.6833203907393235,91.076,95.80136363636365,2.3066180556272124,92.345,93.02449999999999,0.9609581156325143,1.0300000000000011,23.879999999999995,28.08526315789472,21.652631578947368,0,Red Bull Racing,89.708,20,8,3
2023,Bahrain Grand Prix,ZHO,94.575,97.154,2.1031738872475585,91.586,93.3824,1.1322929391283865,93.18,93.82833333333333,0.5670734814231106,1.394999999999996,23.879999999999995,28.08526315789472,21.652631578947368,0,Alfa Romeo,91.473,21,0,3
2023,Belgian Grand Prix,ALO,130.283,130.283,,,,,,,,,19.25157894736842,23.644210526315774,88.67368421052633,1,Aston Martin,107.843,1,3,4
2023,Belgian Grand Prix,HAM,130.299,130.299,,,,,,,,,19.25157894736842,23.644210526315774,88.67368421052632,1,Mercedes,107.087,5,7,4
2023,Belgian Grand Prix,LEC,128.148,128.148,,,,,,,,,19.25157894736842,23.644210526315774,88.67368421052633,1,Ferrari,106.988,8,4,4
2023,Belgian Grand Prix,NOR,124.484,124.484,,,,,,,,,19.25157894736842,23.644210526315774,88.67368421052633,1,McLaren,107.669,10,6,4
2023,Belgian Grand Prix,PER,128.24,128.24,,,,,,,,,19.25157894736842,23.644210526315774,88.67368421052633,1,Red Bull Racing,107.045,12,8,4
2023,Belgian Grand Prix,PIA,123.792,123.792,,,,,,,,,19.25157894736842,23.644210526315774,88.67368421052633,1,McLaren,107.365,13,6,4
2023,Belgian Grand Prix,RUS,130.475,130.475,,,,,,,,,19.25157894736842,23.644210526315774,88.67368421052632,1,Mercedes,107.805,15,7,4
2023,Belgian Grand Prix,SAI,123.207,126.14399999999999,4.153545232689777,,,,,,,,19.25157894736842,23.644210526315774,88.67368421052633,1,Ferrari,107.152,16,4,4
2023,Belgian Grand Prix,STR,,,,,,,,,,,19.25157894736842,23.644210526315774,88.67368421052633,1,Aston Martin,108.841,18,3,4
2023,Belgian Grand Prix,TSU,129.067,129.5875,0.7360981592151937,,,,,,,,19.25157894736842,23.644210526315774,88.67368421052632,1,AlphaTauri,113.148,19,1,4
2023,Belgian Grand Prix,VER,,,,,,,,,,,19.25157894736842,23.644210526315774,88.67368421052633,1,Red Bull Racing,106.168,20,8,4
2023,British Grand Prix,ALB,89.089,90.46600000000001,1.0303305294904148,88.296,91.2487142857143,2.4261243245339323,87.592,88.84233333333333,1.1372142864620256,1.4969999999999999,21.29787234042553,22.92659574468086,78.3936170212766,1,Williams,87.53,0,9,5
2023,British Grand Prix,ALO,89.268,91.31266666666669,1.4686041899254787,89.134,91.72414285714287,2.352659164192116,87.784,88.66133333333333,0.7733183906602304,1.4839999999999947,21.29787234042553,22.926595744680856,78.3936170212766,1,Aston Martin,87.659,1,3,5
2023,British Grand Prix,BOT,90.09,91.24425,0.9799050609989861,89.378,90.773875,1.4492400409968555,89.586,89.91166666666668,0.3617268767085667,0.5040000000000049,21.29787234042553,22.926595744680856,78.3936170212766,1,Alfa Romeo,89.798,2,0,5
2023,British Grand Prix,DEV,89.691,92.44533333333332,1.7360448582913968,89.571,91.44442857142859,1.9114735901168718,88.504,89.59125,0.8651548512645928,1.1869999999999976,21.29787234042553,22.926595744680856,78.3936170212766,1,AlphaTauri,90.513,3,1,5
2023,British Grand Prix,GAS,89.828,92.25977777777778,1.8313767893157462,88.889,90.95414285714287,2.162976685694312,87.893,89.30475000000001,1.006357913468165,1.9350000000000023,21.29787234042553,22.92659574468086,78.3936170212766,1,Alpine,87.689,4,2,5
2023,British Grand Prix,HAM,89.768,91.51700000000001,1.1585999309511468,89.283,92.678,1.967908857830381,87.948,88.86899999999999,0.8765346541922936,1.8200000000000074,21.29787234042553,22.926595744680856,78.3936170212766,1,Mercedes,87.211,5,7,5
2023,British Grand Prix,HUL,90.591,92.218,1.3341584613530757,88.88,90.36233333333332,1.2895698249157879,,,,,21.29787234042553,22.926595744680856,78.3936170212766,1,Haas F1 Team,88.896,6,5,5
2023,British Grand Prix,LEC,89.28,92.27083333333333,1.9055105654788458,,,,87.419,88.16233333333332,0.7947102197237279,1.8610000000000042,21.29787234042553,22.926595744680856,78.3936170212766,1,Ferrari,87.136,8,4,5
2023,British Grand Prix,MAG,90.385,91.60625,0.9910403204041004,89.439,90.23400000000001,0.8752908088172757,89.207,90.625,2.0536209484712646,1.1780000000000115,21.29787234042553,22.926595744680856,78.3936170212766,1,Haas F1 Team,92.378,9,5,5
2023,British Grand Prix,NOR,89.441,91.85230769230769,1.22393017125266,89.26,92.29133333333334,2.096431397890378,88.563,89.20966666666668,0.7260009182730663,0.8780000000000001,21.29787234042553,22.926595744680856,78.3936170212766,1,McLaren,86.961,10,6,5
2023,British Grand Prix,OCO,89.319,91.79775,1.7081244308974006,89.242,90.58183333333334,1.7014037047880974,89.233,89.71366666666667,0.5078989400789629,0.08599999999999852,21.29787234042553,22.926595744680856,78.3936170212766,1,Alpine,88.956,11,2,5
2023,British Grand Prix,PER,89.048,90.12083333333334,1.133079241124235,88.342,92.6625,1.9176980491444193,88.904,90.65866666666666,2.3176801620010776,0.14400000000000546,21.29787234042553,22.926595744680856,78.3936170212766,1,Red Bull Racing,89.968,12,8,5
2023,British Grand Prix,PIA,89.658,90.7012,0.7493431790574993,88.926,90.59314285714287,1.6896844309487136,89.437,90.372,0.990567850612298,0.22100000000000364,21.29787234042553,22.92659574468086,78.3936170212766,1,McLaren,87.092,13,6,5
2023,British Grand Prix,RUS,89.874,91.58599999999998,1.0567613077409979,89.238,91.83259999999999,1.920651289999771,88.284,88.697,0.3831879434428969,1.5899999999999892,21.29787234042553,22.92659574468086,78.3936170212766,1,Mercedes,87.155,15,7,5
2023,British Grand Prix,SAI,89.357,92.7276923076923,1.5869613723830522,88.1,92.18719999999999,2.1709451500313066,87.964,88.348,0.6038277900196363,1.3930000000000007,21.29787234042553,22.926595744680856,78.3936170212766,1,Ferrari,87.148,16,4,5
2023,British Grand Prix,SAR,90.124,93.53515384615386,1.4971753875300138,88.766,91.10666666666667,1.6142383549732207,88.151,89.37725,0.8646584585835052,1.972999999999999,21.29787234042553,22.926595744680856,78.3936170212766,1,Williams,89.031,17,9,5
2023,British Grand Prix,STR,89.471,91.99441666666667,1.4731290419520018,88.866,92.7566923076923,1.8511079738278997,88.62,88.95633333333335,0.45573054904551735,0.8509999999999991,21.29787234042553,22.926595744680856,78.3936170212766,1,Aston Martin,88.935,18,3,5
2023,British Grand Prix,TSU,90.092,92.56469999999999,1.7361899569651547,89.483,90.95966666666668,1.698118213395835,88.337,89.39425,0.8872464426527693,1.7549999999999955,21.29787234042553,22.926595744680856,78.3936170212766,1,AlphaTauri,90.025,19,1,5
2023,British Grand Prix,VER,88.6,92.13591666666666,2.0500904839602185,88.078,92.5075,1.7822756903362718,88.266,90.19866666666667,2.8680378891035114,0.333999999999989,21.29787234042553,22.926595744680856,78.3936170212766,1,Red Bull Racing,86.72,20,8,5
2023,British Grand Prix,ZHO,90.321,91.14840000000001,0.8877180295566848,89.225,90.37633333333333,0.8661546436212565,,,,,21.29787234042553,22.926595744680856,78.3936170212766,1,Alfa Romeo,90.123,21,0,5
2023,Canadian Grand Prix,ALB,,,,75.003,77.64782608695654,0.8966095558559324,85.379,86.33833333333332,0.9304844616291688,,16.46629213483146,18.4561797752809,87.71910112359551,1,Williams,78.725,0,9,6
2023,Canadian Grand Prix,ALO,79.807,79.807,,74.044,76.25282352941177,1.25718585714753,84.483,85.58716666666665,1.2873966625196227,-4.676000000000002,16.46629213483146,18.4561797752809,87.71910112359551,1,Aston Martin,79.776,1,3,6
2023,Canadian Grand Prix,BOT,78.728,78.728,,74.22,77.22272222222222,1.3988002761003095,84.988,86.95800000000001,1.4088365176035629,-6.260000000000005,16.46629213483146,18.4561797752809,87.71910112359551,1,Alfa Romeo,81.821,2,0,6
2023,Canadian Grand Prix,DEV,,,,75.002,76.66486666666668,1.1938746564183764,85.725,86.9442,1.3137197950856978,,16.46629213483146,18.4561797752809,87.71910112359551,1,AlphaTauri,83.137,3,1,6
2023,Canadian Grand Prix,GAS,,,,74.477,77.17326086956521,1.1266991700373468,84.825,86.3962,1.384767561722903,,16.46629213483146,18.4561797752809,87.71910112359551,1,Alpine,82.886,4,2,6
